Kennziffer;Raumeinheit;Aggregat;Abfallmenge;Naturnähere Fläche je Einwohner;Nahversorgung Haltestellen des ÖV Anteil der Bev. 1km Radius;Bruttoinlandsprodukt je Einwohner;Arbeitslosenquote;Schulabgänger ohne Abschluss;Einwohner je Arzt;SGB II-/SGB XII-Quote;Beschäftigte in wissensintensiven Industrien;Steuerkraft;Wahlbeteiligung;Siedlungs- und Verkehrsfläche
;;;2021;2022;2020;2021;2021;2022;2022;2021;2022;2019;2021;2022
"01002";"Kiel, Landeshauptstadt";"Kreise";"824,82";"28,58";"99,97";"50,57";"8,00";"9,34";"425,89";"142,75";"4,43";"842,08";"76,20";"58,78"
"01003";"Lübeck, Hansestadt";"Kreise";"1.982,14";"164,93";"99,07";"47,31";"8,08";"11,34";"449,44";"132,38";"6,08";"840,28";"72,40";"37,86"
"02000";"Hamburg, Freie und Hansestadt";"Kreise";"2.494,50";"47,96";"99,84";"70,59";"7,46";"6,39";"573,89";"123,16";"3,44";"1.583,84";"77,80";"58,47"
"03101";"Braunschweig, Stadt";"Kreise";"1.109,64";"41,98";"99,94";"82,40";"5,21";"6,47";"526,51";"83,68";"11,42";"1.045,17";"75,00";"47,10"
"05315";"Köln, Stadt";"Kreise";"2.214,71";"26,86";"100,00";"62,14";"9,34";"4,83";"569,47";"130,38";"5,18";"1.314,86";"77,80";"60,33"
"06412";"Frankfurt am Main, Stadt";"Kreise";"2.960,77";"8,65";"99,99";"97,58";"6,62";"7,53";"585,44";"115,66";"3,73";"2.090,57";"74,70";"58,70"
"08111";"Stuttgart, Stadtkreis";"Kreise";"981,74";"6,45";"99,99";"87,79";"5,07";"7,57";"588,03";"75,42";"16,86";"1.419,77";"78,50";"51,77"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"2.267,81";"24,68";"99,87";"72,24";"4,76";"6,52";"557,38";"63,03";"3,60";"1.339,87";"77,60";"46,80"
"08221";"Heidelberg, Stadtkreis";"Kreise";"295,57";"19,60";"99,79";"58,73";"4,98";"2,13";"381,37";"50,99";"6,72";"1.082,81";"81,40";"30,58"
"09162";"München, Landeshauptstadt";"Kreise";"529,54";"12,82";"99,96";"86,54";"4,79";"4,79";"488,22";"71,54";"7,74";"1.872,19";"80,20";"75,37"
"09564";"Nürnberg";"Kreise";"2.788,85";"21,20";"99,97";"63,30";"6,07";"7,78";"534,11";"97,53";"9,61";"1.253,77";"74,90";"61,71"
"11000";"Berlin, Stadt";"Kreise";"856,93";"18,14";"99,91";"44,99";"9,81";"6,99";"577,13";"150,42";"3,09";"951,78";"75,20";"70,60"
"15002";"Halle (Saale), Stadt";"Kreise";"700,30";"75,64";"99,98";"34,23";"9,09";"12,43";"469,84";"121,17";"2,11";"559,80";"70,20";"52,92"
